"filename", "language", "HTML", "JavaScript", "CSS", "Markdown", "Python", "JSON", "comment", "blank", "total"
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\CategoryExtractor.py", "Python", 0, 0, 0, 0, 21, 0, 12, 9, 42
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\Course.py", "Python", 0, 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\CoursesDatabase.py", "Python", 0, 0, 0, 0, 12, 0, 19, 5, 36
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\DatesLocationExtractor.py", "Python", 0, 0, 0, 0, 37, 0, 18, 12, 67
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\DescriptionExtractor.py", "Python", 0, 0, 0, 0, 24, 0, 14, 8, 46
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\Extractor.py", "Python", 0, 0, 0, 0, 50, 0, 7, 12, 69
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\GenericExtractor.py", "Python", 0, 0, 0, 0, 30, 0, 15, 6, 51
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\TitleExtractor.py", "Python", 0, 0, 0, 0, 29, 0, 12, 8, 49
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\app.py", "Python", 0, 0, 0, 0, 70, 0, 2, 22, 94
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\helper_functions.py", "Python", 0, 0, 0, 0, 75, 0, 1, 22, 98
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\backend\main.py", "Python", 0, 0, 0, 0, 24, 0, 1, 5, 30
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\charts.html", "HTML", 66, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\courses.json", "JSON", 0, 0, 0, 0, 0, 3516, 0, 0, 3516
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\index.html", "HTML", 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\ExtractorBackendConnection.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 8, 31
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\calendar.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 15, 58
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\categoryChart.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\courseSelection.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 8, 32
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\filter.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 4, 84
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\helperFunctions.js", "JavaScript", 0, 61, 0, 0, 0, 0, 1, 12, 74
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\includeHTML.js", "JavaScript", 0, 22, 0, 0, 0, 0, 6, 0, 28
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\listeners.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 23, 122
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\map.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\printCourses.js", "JavaScript", 0, 73, 0, 0, 0, 0, 2, 19, 94
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\js\totalHoursPerMonthChart.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 19, 118
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\navbar.html", "HTML", 173, 0, 0, 0, 0, 0, 0, 2, 175
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\styles.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\nikla\OneDrive - Johannes Kepler Universität Linz\Projektpraktikum\extract-and-visualize\frontend\upload.html", "HTML", 66, 0, 0, 0, 0, 0, 0, 3, 69
"Total", "-", 328, 590, 15, 2, 393, 3516, 110, 240, 5194